Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
51,0,6,2,1,1,131160,1.0,11,0,1.0,6,1,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,3.0,4.0,2.0
31,1,10,1,2,1,41890,0.0,23,1,6.0,3,5,1,4,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,4,3.0,2.0,4.0
32,0,17,4,3,4,193280,1.0,15,3,5.0,2,5,0,3,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,3,3,2.0,2.0,1.0
38,0,2,5,4,3,83210,3.0,11,3,13.0,5,8,7,5,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,2,3,4.0,4.0,3.0
32,0,10,1,5,1,23420,4.0,12,2,9.0,2,6,0,4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,3,3,4.0,1.0,3.0
46,0,8,3,6,4,40710,3.0,13,0,28.0,5,7,7,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,2.0
28,1,11,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,3,4,1.0,3.0,1.0
29,0,18,3,8,2,31430,2.0,22,3,10.0,2,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,1.0,2.0,3.0
31,0,1,3,9,3,20440,0.0,21,0,10.0,2,9,7,8,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,2.0,4.0,3.0
25,0,7,4,10,4,134640,1.0,13,1,6.0,2,6,1,5,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3,3,2.0,1.0,3.0
45,0,17,2,11,2,79910,0.0,13,2,21.0,2,20,4,10,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,2,3,3.0,4.0,3.0
36,0,28,1,12,1,33770,0.0,12,2,16.0,2,15,10,11,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,3,2.7236031927023947,4.0,3.0
55,0,14,4,13,1,55380,0.0,17,0,37.0,2,36,4,13,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,3,4.0,1.0,3.0
47,1,1,1,14,1,57620,1.0,11,2,10.0,4,10,9,9,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,2.0
28,0,1,3,15,1,25920,1.0,14,0,5.0,2,5,0,4,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,3,3,4.0,4.0,2.0
37,0,1,3,16,2,53460,4.0,11,0,7.0,2,5,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,3,3.0,4.0,4.0
21,0,3,2,17,1,42130,1.0,12,3,3.0,3,3,1,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,2,3,4.0,3.0,4.0
37,0,1,3,18,2,41270,2.0,13,1,15.0,2,5,0,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,1.0,4.0,3.0
35,0,7,4,19,1,24380,7.0,16,0,10.0,5,7,6,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,3,2.0,2.0,2.0
38,0,8,3,20,1,68700,1.0,11,1,8.0,5,8,7,7,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,1.0,1.0,3.0
26,0,1,4,21,2,104470,1.0,18,0,6.0,3,6,1,4,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,3,3,3.0,2.0,1.0
50,0,8,4,22,1,96670,3.0,23,0,28.0,2,10,1,6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2,4,1.0,2.0,2.0
53,0,11,4,23,2,21480,3.0,11,0,21.0,2,5,1,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,3.0,2.0
42,0,4,4,24,1,89260,1.0,14,0,11.279936378095888,4,20,11,6,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,1,3,2.0,3.0,3.0
29,0,16,4,25,1,65130,1.0,11,1,10.0,2,10,0,9,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,2.0,4.0,2.0
55,0,1,4,26,1,67990,3.0,11,0,12.0,2,10,0,8,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,3,3,2.0,4.0,3.0
26,0,9,3,27,1,162910,1.0,22,0,5.0,3,5,3,3,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,4,1.0,1.0,3.0
37,0,5,1,28,1,27050,1.0,11,0,17.0,2,17,5,7,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,4.0,3.0
44,1,1,2,29,2,103330,3.0,14,1,19.0,2,1,0,0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,3.0,1.0
38,0,2,3,30,1,44480,9.0,12,0,10.0,3,2,1,2,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,3,4.0,4.0,3.0
26,1,4,3,31,3,68540,2.0,11,0,5.0,5,3,0,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,1.0,2.0,3.0
