Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageHoursPerDay,IrregularDays
51,0,6,2,1,1,131160,1.0,11,0,1.0,6,1,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,3.0,4.0,2.0,7.373650622605365,29
31,1,10,1,2,1,41890,0.0,23,1,6.0,3,5,1,4,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,4,3.0,2.0,4.0,7.718968926553672,25
32,0,17,4,3,4,193280,1.0,15,3,5.0,2,5,0,3,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,3,3,2.0,2.0,1.0,7.013240358126722,19
38,0,2,5,4,3,83210,3.0,11,3,13.0,5,8,7,5,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,2,3,4.0,4.0,3.0,7.193678486997635,26
32,0,10,1,5,1,23420,4.0,12,2,9.0,2,6,0,4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,3,3,4.0,1.0,3.0,8.006174603174603,16
46,0,8,3,6,4,40710,3.0,13,0,28.0,5,7,7,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,2.0,10.796095874355368,24
28,1,11,2,7,2,58130,2.0,20,1,5.0,2,0,0,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,3,4,1.0,3.0,1.0,6.923570402298851,29
29,0,18,3,8,2,31430,2.0,22,3,10.0,2,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,1.0,2.0,3.0,6.725620713305898,18
31,0,1,3,9,3,20440,0.0,21,0,10.0,2,9,7,8,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,2.0,4.0,3.0,7.236498792270532,31
25,0,7,4,10,4,134640,1.0,13,1,6.0,2,6,1,5,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3,3,2.0,1.0,3.0,7.080087844254511,27
45,0,17,2,11,2,79910,0.0,13,2,21.0,2,20,4,10,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,2,3,3.0,4.0,3.0,8.403485477178425,20
55,0,14,4,13,1,55380,0.0,17,0,37.0,2,36,4,13,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,3,4.0,1.0,3.0,9.301409509946627,32
47,1,1,1,14,1,57620,1.0,11,2,10.0,4,10,9,9,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,2.0,9.399931442080378,26
28,0,1,3,15,1,25920,1.0,14,0,5.0,2,5,0,4,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,3,3,4.0,4.0,2.0,6.08968764407561,20
37,0,1,3,16,2,53460,4.0,11,0,7.0,2,5,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,3,3.0,4.0,4.0,6.705174636661979,24
21,0,3,2,17,1,42130,1.0,12,3,3.0,3,3,1,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,2,3,4.0,3.0,4.0,6.619040626529614,34
37,0,1,3,18,2,41270,2.0,13,1,15.0,2,5,0,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,1.0,4.0,3.0,11.014328139114726,15
35,0,7,4,19,1,24380,7.0,16,0,10.0,5,7,6,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,3,2.0,2.0,2.0,6.960253831417625,29
38,0,8,3,20,1,68700,1.0,11,1,8.0,5,8,7,7,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,1.0,1.0,3.0,9.293555796055795,30
26,0,1,4,21,2,104470,1.0,18,0,6.0,3,6,1,4,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,3,3,3.0,2.0,1.0,7.590778256704982,29
50,0,8,4,22,1,96670,3.0,23,0,28.0,2,10,1,6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2,4,1.0,2.0,2.0,6.008613495469718,28
53,0,11,4,23,2,21480,3.0,11,0,21.0,2,5,1,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,3.0,2.0,8.402108477011494,29
29,0,16,4,25,1,65130,1.0,11,1,10.0,2,10,0,9,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,2.0,4.0,2.0,7.093167388167388,30
55,0,1,4,26,1,67990,3.0,11,0,12.0,2,10,0,8,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,3,3,2.0,4.0,3.0,9.362002074688798,20
26,0,9,3,27,1,162910,1.0,22,0,5.0,3,5,3,3,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,4,1.0,1.0,3.0,10.977123430962344,22
37,0,5,1,28,1,27050,1.0,11,0,17.0,2,17,5,7,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,4.0,3.0,7.604444444444445,25
44,1,1,2,29,2,103330,3.0,14,1,19.0,2,1,0,0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,3.0,1.0,10.97758573388203,18
38,0,2,3,30,1,44480,9.0,12,0,10.0,3,2,1,2,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,3,4.0,4.0,3.0,6.8312753623188405,31
26,1,4,3,31,3,68540,2.0,11,0,5.0,5,3,0,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,1.0,2.0,3.0,10.109408263305323,23
